gameTeamStatsID,gameID,teamID,score,rebounds,assists,blocks,steals,duration,isWin
1,1,434,105,40,30,7,14,48,1
2,1,176,88,46,24,6,13,48,0
3,2,334,97,33,24,2,10,48,0
4,2,453,115,43,17,7,14,48,1
5,3,233,70,43,19,3,5,48,0
6,3,176,89,33,24,6,14,48,1
7,4,106,75,44,19,5,12,48,0
8,4,125,118,49,22,8,6,48,1
9,5,111,108,50,16,2,9,48,1
10,5,188,86,40,23,7,5,48,0
11,6,226,82,36,25,4,7,48,0
12,6,153,100,35,16,7,9,48,1
13,7,367,76,43,20,3,15,48,0
14,7,189,115,38,20,2,12,48,1
15,8,69,78,49,28,4,8,48,0
16,8,92,102,42,18,6,14,48,1
17,9,356,71,43,23,8,5,48,0
18,9,10,112,30,23,7,15,48,1
19,10,401,83,44,25,8,12,48,0
20,10,482,101,48,28,3,5,48,1
21,11,341,89,38,26,7,8,48,0
22,11,430,102,39,26,4,12,48,1
23,12,1,120,38,22,3,6,48,1
24,12,199,106,47,18,7,14,48,0
25,13,155,79,43,18,7,9,48,1
26,13,485,71,32,25,7,9,48,0
27,14,260,76,44,19,7,14,48,0
28,14,152,95,44,20,8,12,48,1
29,15,436,118,39,21,3,11,48,1
30,15,341,73,34,22,4,9,48,0
31,16,243,96,39,29,2,8,48,0
32,16,323,117,41,25,3,13,48,1
33,17,387,82,48,28,3,7,48,1
34,17,61,72,31,23,3,14,48,0
35,18,389,84,39,18,6,14,48,0
36,18,443,117,47,18,8,13,48,1
37,19,464,115,41,16,6,9,48,1
38,19,384,89,39,24,3,6,48,0
39,20,48,101,32,28,8,12,48,1
40,20,343,79,34,21,4,9,48,0
41,21,62,101,50,19,4,8,48,0
42,21,166,111,35,22,7,6,48,1
43,22,9,83,38,26,4,10,48,0
44,22,380,112,42,24,5,14,48,1
45,23,195,85,42,20,3,13,48,0
46,23,116,101,50,19,5,10,48,1
47,24,414,98,30,22,4,12,48,1
48,24,488,96,47,18,3,9,48,0
49,25,347,96,50,28,4,12,48,1
50,25,266,95,47,25,2,14,48,0
51,26,295,108,44,29,4,10,48,1
52,26,119,81,40,28,7,9,48,0
53,27,204,114,34,19,8,10,48,1
